model,layer,n,d,participation_ratio,anisotropy
gemma3_1b_it,layer_0,1200,1152,9.694463729858398,0.1960347294807434
gemma3_1b_it,layer_12,1200,1152,2.7931878566741943,0.5745688676834106
gemma3_1b_it,layer_16,1200,1152,6.89412784576416,0.23486310243606567
gemma3_1b_it,layer_4,1200,1152,7.201353073120117,0.2821466028690338
gemma3_1b_it,layer_8,1200,1152,2.822084903717041,0.5757377743721008
lfm2_5_1_2b_instruct,layer_0,1200,2048,10.947726249694824,0.1751083880662918
lfm2_5_1_2b_instruct,layer_12,1200,2048,5.544735431671143,0.35485026240348816
lfm2_5_1_2b_instruct,layer_16,1200,2048,8.769515037536621,0.2087973952293396
lfm2_5_1_2b_instruct,layer_4,1200,2048,8.185674667358398,0.1924622803926468
lfm2_5_1_2b_instruct,layer_8,1200,2048,7.038446426391602,0.2843398451805115
qwen2_5_0_5b_instruct,layer_0,1200,896,10.197053909301758,0.19148410856723785
qwen2_5_0_5b_instruct,layer_12,1200,896,2.3052616119384766,0.6447102427482605
qwen2_5_0_5b_instruct,layer_16,1200,896,3.4442832469940186,0.5027490258216858
qwen2_5_0_5b_instruct,layer_4,1200,896,1.5047739744186401,0.8127769827842712
qwen2_5_0_5b_instruct,layer_8,1200,896,2.0535290241241455,0.6884804368019104
qwen3_0_6b,layer_0,1200,1024,10.266868591308594,0.1808667927980423
qwen3_0_6b,layer_12,1200,1024,1.5257024765014648,0.8057735562324524
qwen3_0_6b,layer_16,1200,1024,1.9625838994979858,0.702081024646759
qwen3_0_6b,layer_4,1200,1024,1.0531235933303833,0.974408745765686
qwen3_0_6b,layer_8,1200,1024,1.1697938442230225,0.9241605401039124
qwen3_5_0_8b,layer_0,1200,1024,9.54638957977295,0.200773686170578
qwen3_5_0_8b,layer_12,1200,1024,6.302778244018555,0.30485281348228455
qwen3_5_0_8b,layer_16,1200,1024,6.7638421058654785,0.28022706508636475
qwen3_5_0_8b,layer_4,1200,1024,7.39193058013916,0.23471009731292725
qwen3_5_0_8b,layer_8,1200,1024,6.244991302490234,0.31775978207588196
