family_a,family_b,layer,mean_cka,mean_rsa,n
gemma,gemma,layer_0,0.8874870559998921,0.8928547304075597,28
gemma,gemma,layer_10,0.6499297831739698,0.8710775616408241,28
gemma,gemma,layer_12,0.6369815607156072,0.8667037571999965,28
gemma,gemma,layer_2,0.9253152481147221,0.7274499489284111,28
gemma,gemma,layer_4,0.9188190613474164,0.6872017755124421,28
gemma,gemma,layer_6,0.7579330078193119,0.7920111909043485,28
gemma,gemma,layer_8,0.687337937099593,0.8206776969308083,28
gemma,lfm,layer_0,0.9295011609792709,0.8893192729807172,24
gemma,lfm,layer_10,0.720110638688008,0.7659877677105418,24
gemma,lfm,layer_12,0.7157467380166054,0.770866444246085,24
gemma,lfm,layer_2,0.931866059700648,0.7132037727683209,24
gemma,lfm,layer_4,0.9353250240286192,0.6404745101113162,24
gemma,lfm,layer_6,0.8286373764276505,0.7710937264592549,24
gemma,lfm,layer_8,0.7188997392853101,0.7499013398775488,24
lfm,lfm,layer_0,0.9994078874588013,0.995469430296034,3
lfm,lfm,layer_10,0.8559635281562805,0.7919349181832649,3
lfm,lfm,layer_12,0.823286215464274,0.6759151739193089,3
lfm,lfm,layer_2,0.9939812024434408,0.9709073900973317,3
lfm,lfm,layer_4,0.9831660191218058,0.8605246499725907,3
lfm,lfm,layer_6,0.9702946742375692,0.8679040305615477,3
lfm,lfm,layer_8,0.9360877871513367,0.8529869732703004,3
