model,family,generation,tune_type,params_b,tensors_used,global_mean,global_rms,global_abs_mean,global_n
gemma1_1_2b_it,gemma,1.1,it,2.0,83.0,0.0006051790546786247,0.10796018669895492,0.04685663880504366,1515231232.0
gemma2_2b,gemma,2.0,pt,2.0,145.0,0.00014068245515358634,0.026183941478262508,0.014423728312328963,1602084096.0
gemma2_2b_it,gemma,2.0,it,2.0,145.0,0.00014166225167058105,0.026103334947142752,0.014382299397329634,1602084096.0
gemma3_1b_pt,gemma,3.0,pt,1.0,171.0,0.0019948612072142515,0.430130879274799,0.022780210033179933,650938496.0
gemma3_1b_it,gemma,3.0,it,1.0,171.0,0.0013782445818733382,0.2882891985883743,0.021438499854416884,650938496.0
gemma3_4b_pt,gemma,3.0,pt,4.0,260.0,0.0019135230291255241,0.4464897732438549,0.015407019496693554,2315768064.0
gemma3_4b_it,gemma,3.0,it,4.0,260.0,0.0019013713811651693,0.44564982933724007,0.015593723902841618,2315768064.0
codegemma_2b,gemma,1.2,code,2.0,83.0,0.0005322774829151171,0.10285150266197651,0.04431519209980494,1515231232.0
lfm2_5_1_2b_base,lfm,2.5,base,1.2,43.0,8.965275388868726e-05,0.018618961495920183,0.012051985721058308,165710464.0
lfm2_5_1_2b_instruct,lfm,2.5,instruct,1.2,43.0,8.628764931862882e-05,0.018538102999443785,0.012022774797512887,165710464.0
lfm2_5_1_2b_thinking,lfm,2.5,thinking,1.2,43.0,8.03795490945911e-05,0.018598808674576403,0.012293586855769175,165710464.0
